Country,ISO Code,Data source category,Reference date (dd/mm/yyyy),year,Average household size (number of members),Households by size 1 member,"
Households by size 2-3 members",Households by size 4-5 members,Households by size 6 or more members,Average number of household members of selected ages Under age 15 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation
Central African Republic,140,MICS,7-Jan-2000,2000,6.64,2.74,17.04,24.32,55.9,3.41,2.74,4.06,32.74,5.62,4.05,1.55,45.73,9.11,0.0,42.41,24.25,18.69,3.63
Central African Republic,140,MICS,7-Jan-2006,2006,4.64,11.57,29.6,27.57,31.26,2.17,11.57,7.67,33.34,8.04,5.97,2.07,37.56,1.76,0.06,49.04,16.38,12.57,3.86
Central African Republic,140,MICS,7-Jan-2010,2010,4.78,9.59,26.94,30.63,32.84,2.29,9.59,6.03,36.97,8.81,6.9,1.91,37.57,1,0.04,51.8,17.58,13.3,4.22
Central African Republic,140,MICS,7-Jan-2018,2018,5.59,6.2,19.45,29.09,45.26,2.86,6.2,3.34,36.86,9.01,6.46,2.55,44.16,0.38,0.05,49.21,23.81,18.49,5.33
Chad,148,DHS,29/03/1997,1997,5.33,9.56,24.14,26.91,39.39,2.68,9.56,5.99,36.32,8.34,7.16,1.18,36.94,2.81,0.04,50.65,19.69,13.42,3.98
Chad,148,MICS,7-Jan-2000,2000,5.37,9.22,22.28,27.79,40.71,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,148,DHS,10-Jan-2004,2004,5.36,8.03,23.25,27.04,41.68,2.72,8.03,5.09,41.23,7.65,6.61,1.05,36.73,1.24,0.03,53.97,19.15,13.1,4.13
Chad,148,MICS,7-Jan-2010,2010,5.4,7.73,22.38,27.09,42.81,2.82,7.73,5.83,49.64,7.55,6.83,0.73,28.32,0.8,0.13,63.03,16.17,9.73,2.85
Chad,148,DHS,16/01/2015,2015,5.78,7.73,18.49,25.67,48.11,3.15,7.73,3.87,44.39,9.59,8.41,1.19,33.53,0.84,0.04,57.86,18.21,12.79,4.22
Chad,148,MICS,7-Jan-2019,2019,5.97,5.43,16.97,26.61,50.98,3.2,5.43,3.24,46.03,10.55,9.29,1.27,34.44,0.3,0.01,59.82,21.49,12.81,3.82
Channel Islands,830,DYB,7-Jan-2018,2018,NA,26.15,51.75,19.38,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,152,IPUMS,7-Jan-1970,1970,5.04,5.69,25.47,30.49,38.34,2,5.69,6.02,37.54,7.44,5.99,1.45,26.75,15.98,0.57,51.01,30.66,13.61,2.37
Chile,152,IPUMS,7-Jan-1982,1982,4.5,6.95,28.97,36.47,27.61,1.46,6.95,6.15,37.86,7.79,6.5,1.29,28.91,12.35,0.0,51.8,32.2,15.84,1.8
Chile,152,IPUMS,7-Jan-1992,1992,3.98,8.32,34.14,39.57,17.98,1.18,8.32,7.23,40.22,8.35,7.14,1.21,27.43,8.46,0.0,55.8,32.02,15.38,1.84
Chile,152,DYB,7-Jan-2002,2002,3.57,11.61,39.41,37.07,11.91,NA,11.61,9.66,47.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,152,IPUMS,7-Jan-2002,2002,3.58,11.43,39.22,37.11,12.24,0.93,11.43,9.19,37.43,9.43,8.02,1.41,26.47,6.06,0.0,56.05,32.94,13.8,2
Chile,152,IPUMS,7-Jan-2017,2017,3.04,20.17,44.75,27.47,7.6,0.61,20.17,10.57,23.68,11.11,9.16,1.94,28.77,4.84,0.0,45.35,32.21,11.69,1.8
China,156,IPUMS,7-Jan-1982,1982,4.41,7.99,26.16,37.84,28,1.53,7.99,4.79,NA,NA,NA,NA,NA,NA,NA,NA,36.92,17.7,0.6
China,156,IPUMS,7-Jan-1990,1990,3.95,6.32,35.14,43.27,15.27,1.12,6.32,6.49,NA,NA,NA,NA,NA,NA,NA,NA,35.91,18.03,0.62
China,156,IPUMS,7-Jan-2000,2000,3.38,8.59,48.82,35.47,7.12,0.82,8.59,12.82,46.96,5.4,3.55,1.86,NA,NA,NA,65.18,32.18,17.73,1.91
China,156,DYB,7-Jan-2010,2010,NA,14.53,51.23,27.6,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong SAR",344,DYB,7-Jan-2006,2006,2.98,16.51,47.29,32.28,3.91,NA,16.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong SAR",344,DYB,7-Jan-2011,2011,2.91,17.06,49.52,30.16,3.26,NA,17.06,14.97,39.44,11.93,NA,NA,NA,NA,16.61,66.33,NA,NA,NA
"China, Hong Kong SAR",344,DYB,7-Jan-2016,2016,2.83,18.29,50.89,27.55,3.27,NA,18.29,15.46,36.66,11.86,NA,NA,NA,NA,17.73,63.98,NA,NA,NA
"China, Macao SAR",446,DYB,7-Jan-2011,2011,3.08,15.22,46.54,38.24,NA,NA,15.22,14,38.18,8.59,NA,NA,NA,NA,24.02,60.77,NA,NA,NA
"China, Macao SAR",446,DYB,7-Jan-2016,2016,3.07,15.13,48.16,31.06,5.64,NA,15.13,14.6,36.5,9,NA,NA,NA,NA,24.77,60.1,NA,NA,NA
Colombia,170,IPUMS,7-Jan-1973,1973,5.68,5.92,21,25.5,47.57,2.54,5.92,3.96,31.8,10.04,8.44,1.6,27.1,19.29,1.89,45.8,28.45,14.1,1.83
Colombia,170,IPUMS,7-Jan-1985,1985,5.06,5.95,24.04,33.25,36.76,1.82,5.95,4.97,38.64,8.26,6.9,1.35,27.97,14.22,0.0,51.87,34.09,16.76,1.57
Colombia,170,DHS,26/06/1990,1990,4.64,6.62,27.37,35.85,30.15,1.63,6.62,5.42,38.56,9.3,8.07,1.23,28.44,11.65,0.01,53.27,34.11,17.88,1.6
Colombia,170,IPUMS,7-Jan-1993,1993,4.49,6.83,29.25,36.46,27.46,1.54,6.83,5.92,38.5,10.06,8.43,1.63,27.81,10.89,0.0,54.48,31.39,14.7,1.49
Colombia,170,DHS,22/05/1995,1995,4.44,6.39,29.94,37.92,25.74,1.51,6.39,5.71,41.02,9.42,8.29,1.13,27.82,9.6,0.05,56.14,33.95,18.73,1.65
Colombia,170,DHS,18/04/2000,2000,4.2,7.67,32.23,37.53,22.57,1.32,7.67,5.89,37.67,10.67,9.5,1.17,30.14,7.96,0.0,54.23,36.32,19.92,2.04
Colombia,170,DHS,17/02/2005,2005,4.11,7.65,34.15,38,20.21,1.25,7.65,6.52,36.44,11.19,9.92,1.26,32.71,5.49,0.0,54.15,38.62,21.1,2.36
Colombia,170,DYB,7-Jan-2005,2005,3.9,11.13,35.04,35.51,18.32,NA,11.13,7.24,37.11,12.01,NA,NA,NA,NA,32.5,56.37,NA,NA,NA
Colombia,170,IPUMS,7-Jan-2005,2005,3.83,11.37,35.72,36.09,16.82,1.16,11.37,7.36,37.2,11.75,10.03,1.72,24.72,7.61,0.0,56.3,31.94,15.19,1.65
Colombia,170,DHS,6-Apr-2010,2010,3.77,9.44,38.79,36.71,15.06,1.06,9.44,7.77,36.16,12.38,11.04,1.34,30.06,4.19,0.0,56.31,36.46,18.86,2.42
Colombia,170,DHS,28/08/2015,2015,3.53,11.13,42.41,34.8,11.66,0.87,11.13,9.78,34.19,12.7,11.44,1.26,28.93,3.28,0.0,56.67,38.25,18.07,2.32
Comoros,174,DHS,5-Jan-1996,1996,6.31,2.31,16.46,24.69,56.54,2.74,2.31,3.56,27.85,7.61,6.94,0.67,50.62,8.05,0.0,39.01,40.52,21.84,2.76
Comoros,174,MICS,7-Jan-2000,2000,7.42,0.13,4.41,20.36,75.1,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,174,DHS,15/10/2012,2012,5.37,4.91,22.92,28.71,43.46,2.18,4.91,4.58,36.17,8.93,7.77,1.16,38.07,7.07,0.27,49.68,34.73,17.67,3.29
Congo,178,DHS,15/09/2005,2005,5.17,8.86,23.16,28.73,39.25,2.18,8.86,4.78,28.63,6.55,4.99,1.57,47.39,3.79,0.0,39.96,27.33,20.45,3.28
Congo,178,DHS,30/04/2009,2009,4.2,12.27,30.11,31.75,25.87,1.77,12.27,5.28,34,9.93,6.99,2.94,36.06,2.32,0.13,49.22,18.87,12.66,3.16
Congo,178,DHS,26/11/2011,2011,4.31,13.09,29.9,29.08,27.94,1.85,13.09,5.84,34.45,8.21,6.02,2.19,35.84,2.57,0,48.5,17.97,13.32,3.35
Congo,178,MICS,7-Jan-2014,2014,4.22,13.79,29.25,30,26.96,1.75,13.79,5.31,36.09,9.17,7.25,1.91,34.44,1.2,0.01,50.57,22.65,14.99,3.57
Cook Islands,184,DYB,7-Jan-1996,1996,NA,11.85,31.18,29.11,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,184,DYB,7-Jan-2006,2006,NA,16,36.87,26.91,20.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,184,DYB,7-Jan-2011,2011,NA,17.93,38.86,26.83,16.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,188,IPUMS,7-Jan-1973,1973,5.59,4.73,22.74,27.18,45.34,2.49,4.73,5.85,47.1,7.79,6.56,1.23,24.66,9.88,0.0,60.73,NA,NA,NA
Costa Rica,188,IPUMS,7-Jan-1984,1984,4.68,5.36,27.58,37,30.06,1.72,5.36,6.74,49.97,8.29,7.21,1.09,22.06,7.58,0.0,65,29.44,12.96,0.99
Costa Rica,188,IPUMS,7-Jan-2000,2000,3.95,8,35.3,38.97,17.73,1.27,8,8.49,48.99,11.16,10.01,1.15,18.39,4.96,0.0,68.64,29.91,10.57,1.12
Costa Rica,188,DYB,7-Jan-2011,2011,3.46,10.57,41.2,35.74,12.48,NA,11.27,10.68,41.76,13.82,NA,NA,NA,NA,22.46,66.26,NA,NA,NA
Costa Rica,188,IPUMS,7-Jan-2011,2011,3.46,11.23,42.7,35.83,10.25,0.86,11.23,10.76,41.25,13.71,12.17,1.54,19.42,3.64,0.0,65.71,34.66,11.33,1.29
Costa Rica,188,MICS,7-Jan-2011,2011,3.66,8.51,39.67,40.3,11.51,0.93,8.51,9.27,40.85,13.37,12.26,1.11,24.61,3.05,0.34,63.49,38.78,14.71,1.12
Costa Rica,188,MICS,7-Jan-2018,2018,3.21,12.07,48.8,31.61,7.51,0.69,12.07,13.43,35.93,15.68,13.71,1.96,20.65,2.25,0.0,65.04,37.38,11.79,1.58
Côte d’Ivoire,384,DHS,9-Mar-1994,1994,6.22,13.88,19.59,19.81,46.71,2.89,13.88,3.88,19.54,3.72,2.55,1.17,46.06,12.88,0.04,27.14,23.63,18.4,2.45
Côte d’Ivoire,384,DHS,17/12/1998,1998,6.19,11.41,21.79,20.36,46.44,2.71,11.41,5.05,18.14,3.21,2.2,1.01,46.58,15.53,0.09,26.39,25.86,18.4,2.21
Côte d’Ivoire,384,DHS,14/09/2005,2005,5.48,11.44,22.19,24.38,41.99,2.31,11.44,3.78,23.84,4.15,2.49,1.66,45.78,10.92,0.09,31.77,24.31,16.47,2.34
Côte d’Ivoire,384,DHS,3-Feb-2012,2012,5.09,12.18,24.73,25.87,37.22,2.2,12.18,4.61,25.32,5.26,3.03,2.24,41.08,11.54,0.01,35.19,23.6,16.78,3.38
Côte d’Ivoire,384,MICS,7-Jan-2016,2016,4.58,17,25.12,26.08,31.8,1.95,17,4.77,27.64,6.1,4.32,1.78,37.44,7.01,0.05,38.5,19.75,13.16,3.11
Croatia,191,DYB,7-Jan-2001,2001,2.99,20.79,42.59,29.81,6.81,NA,20.79,15.76,36.15,9.12,NA,NA,NA,NA,18.19,61.02,NA,NA,NA
Croatia,191,DYB,7-Jan-2011,2011,2.8,24.56,44.43,25.28,5.73,NA,24.56,16.87,32.78,10.04,NA,NA,NA,NA,15.74,59.7,NA,NA,NA
Cuba,192,IPUMS,7-Jan-2002,2002,3.14,13.73,49.55,30.23,6.5,0.65,13.73,11.67,30.72,11.87,10.19,1.69,28.61,3.4,0.0,54.26,35.9,16.36,3.65
Cuba,192,MICS,7-Jan-2006,2006,3.25,12.5,47.31,32.27,7.92,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,192,MICS,7-Jan-2010,2010,3.06,14.97,49.86,28.62,6.56,0.52,14.97,13.62,27.21,11.78,10.19,1.59,30.37,2.06,0.0,52.6,43.7,18.96,4.12
Cuba,192,MICS,7-Jan-2014,2014,2.81,17.95,53.43,24.7,3.93,0.41,17.95,16.35,24.54,12.94,11.38,1.56,26.89,1.3,0.03,53.83,40.03,15.73,3.45
Cuba,192,MICS,7-Jan-2019,2019,2.71,21.14,52.66,22.49,3.7,0.44,21.14,17.4,23.2,11.72,9.9,1.82,25.14,1.39,0.0,52.32,35.74,14.76,3.37
Cyprus,196,DYB,7-Jan-2001,2001,3.06,16.02,44.31,33.69,5.98,NA,16.02,23.73,49.49,5.73,NA,NA,NA,NA,5.03,78.96,NA,NA,NA
Cyprus,196,LFS,7-Jan-2001,2001,2.96,16.11,48.35,30.66,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,196,DYB,7-Jan-2011,2011,2.76,20.76,49.14,26.04,4.06,NA,20.76,23.65,36.59,6.16,NA,NA,NA,NA,12.83,66.4,NA,NA,NA
Cyprus,196,LFS,7-Jan-2011,2011,2.75,18.72,52.55,25.82,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,203,DYB,7-Jan-2001,2001,2.41,30.27,47.01,21.51,1.21,NA,30.27,28.31,25.3,12.88,NA,NA,NA,NA,3.24,66.49,NA,NA,NA
Czechia,203,LFS,7-Jan-2001,2001,2.6,22.57,50.33,25.54,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,203,DYB,7-Jan-2011,2011,2.34,32.51,47.22,18.54,1.74,NA,32.51,18.84,24.5,10.29,NA,NA,NA,NA,13.86,53.64,NA,NA,NA
Czechia,203,LFS,7-Jan-2011,2011,2.4,27.28,51.34,20.37,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dem. People's Rep. of Korea,408,DYB,7-Jan-2008,2008,3.93,1.68,32.72,55.42,10.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dem. Republic of the Congo,180,MICS,7-Jan-2001,2001,6.29,2.21,16.67,27.08,54.04,3.04,2.21,3.82,41.4,6.09,5.31,0.78,43.29,1.78,1.42,51.31,28.15,18.61,2.39
Dem. Republic of the Congo,180,DHS,5-Sep-2007,2007,5.45,6.73,21.47,26.8,45,2.6,6.73,4.66,38.34,7.84,6.65,1.18,40.35,2.03,0.06,50.84,25.24,16.02,3.21
Dem. Republic of the Congo,180,MICS,7-Jan-2010,2010,5.32,5.9,21.86,28.62,43.62,2.57,5.9,4.97,42.29,7.34,6.35,0.99,36.57,2.23,0.7,54.61,22.61,14.72,3.39
Dem. Republic of the Congo,180,DHS,11-Oct-2013,2013,5.3,7.25,21.19,27.81,43.74,2.7,7.25,4.71,36.7,10.7,9.05,1.65,38.54,2.1,0.0,52.11,24.86,18.8,4.38
Dem. Republic of the Congo,180,MICS,7-Jan-2017,2017,5.17,7.55,22.77,28.5,41.18,2.53,7.55,4.78,37.69,13.85,12,1.85,35.32,0.81,0.0,56.32,22.71,14.7,4.06
Djibouti,262,MICS,7-Jan-2006,2006,5.89,2.72,18.72,28.84,49.72,1.92,2.72,4.88,49.48,8.12,7.08,1.03,30,4.68,0.12,62.47,40.29,9.33,0.78
Dominican Republic,214,IPUMS,7-Jan-1981,1981,5,9.15,25.13,26.8,38.91,2.03,9.15,5.83,36.84,9.63,7.53,2.1,28.89,9.65,0.0,52.3,28.94,14.43,2.72
Dominican Republic,214,DHS,18/09/1991,1991,NA,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,214,DHS,26/10/1996,1996,4.3,8.31,30.75,35.7,25.24,1.56,8.31,7.13,35.36,8.99,7.43,1.56,34.36,5.83,0.02,51.48,28.99,17.4,4.07
Dominican Republic,214,DHS,18/10/1999,1999,4.21,8.15,32.58,35.84,23.43,1.48,8.15,5.12,32.06,10.95,8.85,2.1,33.22,10.32,0.18,48.14,30.72,16.91,4.25
Dominican Republic,214,MICS,7-Jan-2000,2000,3.99,10.18,33.39,36.56,19.86,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,214,DYB,7-Jan-2002,2002,3.9,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,214,IPUMS,7-Jan-2002,2002,3.96,9.92,33.12,37.5,19.46,1.34,9.92,7.62,39.08,12.64,10.22,2.42,27.59,3.14,0.0,59.34,30.04,13.89,3.46
Dominican Republic,214,DHS,26/09/2002,2002,3.93,11.04,33.6,36.31,19.06,1.36,11.04,8,36.19,10.46,8.6,1.86,28.72,5.41,0.18,54.65,24.58,13.17,4.4
Dominican Republic,214,DHS,27/05/2007,2007,3.71,12.23,36.99,35.1,15.69,1.22,12.23,7.8,32.08,13.15,10.88,2.26,29.68,4.77,0.31,53.02,25.94,13.14,4.95
Dominican Republic,214,DYB,7-Jan-2010,2010,3.53,14.6,37.92,33.88,13.6,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,214,IPUMS,7-Jan-2010,2010,3.58,13.57,37.6,34.65,14.18,1.06,13.57,8.18,31.62,13.24,11.17,2.07,30.07,3.32,0.0,53.04,28.99,13.46,3.89
Dominican Republic,214,DHS,9-Feb-2013,2013,3.48,14.33,39.85,33.08,12.73,1.05,14.33,8.89,28.6,13.17,10.8,2.37,28.49,6.37,0.14,50.67,26.21,11.82,4.59
Dominican Republic,214,MICS,7-Jan-2014,2014,3.36,16.53,39.59,32.88,10.99,0.98,16.53,9.35,32.47,13.86,11.79,2.07,25.54,2.16,0.09,55.68,28.36,13.06,3.79
Dominican Republic,214,MICS,7-Jan-2019,2019,3.09,20.05,42.34,29.65,7.97,0.82,20.05,10.08,29.35,15.03,12.85,2.18,23.38,2.1,0.0,54.47,28.25,11.23,3.88
Ecuador,218,IPUMS,7-Jan-1974,1974,5.37,6.94,22.82,26.79,43.45,2.41,6.94,4.91,38.32,9.72,7.81,1.91,27.13,12.87,0.11,52.95,28.96,15.3,2
Ecuador,218,IPUMS,7-Jan-1982,1982,5.06,7.69,23.82,29.49,39,2.13,7.69,5.33,41.59,9.02,7.31,1.71,26.48,9.89,0.0,55.94,26.72,13.63,1.65
Ecuador,218,IPUMS,7-Jan-1990,1990,4.68,7.64,26.62,33.65,32.1,1.83,7.64,5.95,43.53,9.37,7.87,1.5,23.67,9.84,0.0,58.85,27.07,12.21,1.51
Ecuador,218,DYB,7-Jan-2001,2001,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,218,IPUMS,7-Jan-2001,2001,4.19,9.16,31.4,36.11,23.33,1.4,9.16,6.47,37.32,10.97,8.94,2.03,30.28,5.8,0.0,54.76,29.22,13,1.82
Ecuador,218,DYB,7-Jan-2010,2010,3.78,12.06,35.99,35.46,16.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,218,IPUMS,7-Jan-2010,2010,3.78,12.12,35.91,35.49,16.48,1.19,12.12,7.22,36.05,12.42,10.48,1.94,28.02,4.16,0.0,55.7,29.12,12.97,1.92
Egypt,818,IPUMS,7-Jan-1986,1986,4.85,6.62,24.21,32.38,36.79,1.9,6.62,7.49,55.51,8.86,6.19,2.66,20.21,1.26,0.05,71.85,NA,NA,NA
Egypt,818,DHS,23/12/1992,1992,5.65,4.61,18.44,30.56,46.39,2.28,4.61,5.4,55.3,6.39,5.55,0.83,27.85,0.39,0.07,67.08,41.88,18.76,0.27
Egypt,818,DHS,19/12/1995,1995,5.33,5.4,20.3,33.04,41.25,2.06,5.4,6.15,57.72,7.3,6.41,0.89,23.21,0.22,0.01,71.17,39.88,15.5,0.5
Egypt,818,IPUMS,7-Jan-1996,1996,4.64,6.39,25.99,34.72,32.91,1.75,6.39,8.48,62.37,9.18,8.05,1.13,12.93,0.65,0.0,80.03,NA,NA,NA
Egypt,818,DHS,20/03/2000,2000,5.25,4.97,20.29,35.03,39.7,1.92,4.97,6.03,59.74,6.88,5.85,1.03,22.09,0.29,0.0,72.65,40.21,14.66,0.48
Egypt,818,DHS,6-Jun-2003,2003,5.05,5.76,22.51,36.35,35.37,1.72,5.76,6.94,55.44,7.24,6.22,1.02,24.37,0.26,0.0,69.62,40.43,15.83,0.42
Egypt,818,DHS,6-Feb-2005,2005,4.88,5.27,23.7,38.75,32.27,1.62,5.27,7.59,61.05,7.07,6.14,0.93,18.78,0.24,0.0,75.71,39.02,12.59,0.36
Egypt,818,IPUMS,7-Jan-2006,2006,4.19,6.6,29.93,41.18,22.28,1.34,6.6,9.75,64.28,9.55,7.97,1.59,9.29,0.52,0.0,83.58,32.16,4.61,0.21
Egypt,818,DHS,23/04/2008,2008,4.61,5.48,26.1,40.62,27.8,1.52,5.48,8.67,61.34,7.79,7.09,0.7,16.52,0.2,0.0,77.8,37.36,11.33,0.34
Egypt,818,MICS,7-Jan-2013,2013,4.61,4.27,27.54,37.72,30.47,1.79,4.27,9.52,69.55,7.44,6.88,0.56,9.21,0.0,0.0,86.52,27.42,6.26,0.12
Egypt,818,DHS,20/05/2014,2014,4.13,6.48,30.4,43.12,20,1.41,6.48,10.53,65.04,7.09,6.21,0.88,10.73,0.13,0.0,82.66,30.63,7.54,0.23
El Salvador,222,IPUMS,7-Jan-1992,1992,4.62,7.55,26.81,35.39,30.25,1.8,7.55,5.44,33.63,9.84,7.9,1.94,38.57,4.98,0.0,48.9,28.2,15.88,4.15
El Salvador,222,IPUMS,7-Jan-2007,2007,4.07,8.82,34.09,36.82,20.28,1.38,8.82,6.84,36.64,13.24,11.51,1.74,31.17,3.28,0.0,56.72,35.29,18.91,3.7
El Salvador,222,MICS,7-Jan-2014,2014,3.92,8.46,36.01,37.84,17.69,1.09,8.46,7.25,38.09,11.67,10.27,1.41,31.22,3.3,0.01,57.01,40.38,20.2,3.79
Equatorial Guinea,226,MICS,7-Jan-2000,2000,5.3,14.14,23.85,20.04,41.98,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,233,DYB,7-Jan-2000,2000,2.35,33.52,47.16,17.54,1.78,NA,33.52,16.97,26,12.14,NA,NA,NA,NA,11.37,55.11,NA,NA,NA
Estonia,233,LFS,7-Jan-2001,2001,2.63,22.78,52.03,22.43,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,233,LFS,7-Jan-2011,2011,2.3,33.9,47.28,17.14,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,748,DYB,7-Jan-1997,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,748,MICS,7-Jan-2000,2000,5.51,17.04,20.64,20.43,41.89,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,748,DHS,11-Nov-2006,2006,4.64,19.25,24.15,23.31,33.28,2.02,19.25,4.25,9.94,12.66,10.7,1.97,45.28,8.6,0.02,26.84,30.44,25.45,6.64
Eswatini,748,DYB,7-Jan-2007,2007,4.74,17.65,24.63,21.6,36.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,748,MICS,7-Jan-2010,2010,4.26,21.95,25.92,23.53,28.59,1.81,21.95,4.33,12.44,13.33,11.67,1.66,41.06,6.81,0.08,30.1,28.2,22.95,6.87
Eswatini,748,MICS,7-Jan-2014,2014,4.04,21.72,29.31,24.2,24.77,1.6,21.72,4.55,14.11,12.92,10.95,1.97,39.97,6.35,0.37,31.59,27.55,21.19,7.31
Ethiopia,231,IPUMS,7-Jan-1994,1994,4.78,6.11,27.29,31.18,35.42,2.19,6.11,5.97,48.04,13.03,11.6,1.43,NA,NA,0.0,67.04,NA,NA,NA
Ethiopia,231,DHS,4-Jan-2000,2000,4.82,5.13,25.95,33.39,35.54,2.19,5.13,4.23,43.86,10.89,9.79,1.1,28.56,7.32,0.02,58.98,24.27,11.98,4
Ethiopia,231,DHS,28/06/2005,2005,5.03,5,22.88,32.49,39.63,2.39,5,3.68,48.75,9.89,8.72,1.17,27.69,4.98,0.01,62.32,25.58,11.76,3.77
Ethiopia,231,DYB,7-Jan-2007,2007,4.69,8.3,26.22,29.84,35.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,231,IPUMS,7-Jan-2007,2007,4.45,8.34,27.8,31.24,32.62,1.98,8.34,5.39,48.23,12.2,10.96,1.24,21.12,4.74,0.0,65.81,18.22,6.3,2.97
Ethiopia,231,DHS,16/03/2011,2011,4.64,7.58,26.89,31.87,33.66,2.14,7.58,4.67,45.94,10.24,9.35,0.9,26.88,4.66,0.03,60.85,21.91,10.81,4.39
Ethiopia,231,DHS,4-Jul-2016,2016,4.61,7.52,27.01,32,33.47,2.16,7.52,4.77,47.07,11.65,10.25,1.4,25.37,3.63,v,63.48,22.52,11.67,4.09
Ethiopia,231,DHS,4-Jul-2019,2019,4.73,6.36,27.23,31.32,35.1,2.05,6.36,5.21,48.64,9.05,8,1.05,26.47,4.28,0,62.9,25.06,11.45,3.75
Fiji,242,IPUMS,7-Jan-1966,1966,6.3,3.38,17.36,23.81,55.45,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,242,IPUMS,7-Jan-1976,1976,5.96,3.21,17.92,27.11,51.77,2.45,3.21,4.7,38.23,4.53,3.65,0.88,41.92,7.42,0.0,47.46,32.97,20.29,1.54
Fiji,242,IPUMS,7-Jan-1986,1986,5.85,3.62,17.36,30.61,48.41,2.14,3.62,4.28,30.76,3.94,3.01,0.92,53.7,3.68,0.03,38.98,38.57,25.44,2.28
Fiji,242,IPUMS,7-Jan-1996,1996,5.31,3.98,20.57,35.29,40.16,1.9,3.98,4.86,37.16,5.04,3.76,1.28,46.18,2.78,0.0,47.06,36.38,21.67,1.78
Fiji,242,IPUMS,7-Jan-2007,2007,4.78,5.55,27.27,35.21,31.98,1.39,5.55,7.1,30.31,5.18,3.8,1.38,49.02,2.84,0.0,42.59,42.41,21.66,2.43
Fiji,242,IPUMS,7-Jan-2014,2014,4.57,5.94,30.1,34.31,29.64,1.3,5.94,8.84,38.1,5.8,4.2,1.6,39.97,1.33,0.0,52.75,45.06,22.13,2.15
Finland,246,DYB,7-Jan-2010,2010,2.07,41.01,44.46,12.97,1.57,NA,41.01,26.88,21.43,6.68,NA,NA,NA,NA,4.01,54.99,NA,NA,NA
France,250,IPUMS,7-Jan-1962,1962,3.11,19.6,45.51,24.12,10.77,0.83,19.6,20.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-1968,1968,3.06,20.26,45.51,24.29,9.94,0.78,20.26,21.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,250,IPUMS,7-Jan-1975,1975,2.88,22.18,46.99,23.57,7.26,0.71,22.18,22.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
